PFAM	GCount	GProp	Icount	Iprop	Enrichment
Phage_AlpA	4098	0.000322786	458	12.52257791	0
HTH_17	12465	0.000981828	1218	10.94851515	0
Phage_integrase	49564	0.003903996	4728	10.68836652	0
AAA_10	9561	0.000753089	622	7.289324511	0
HTH_19	33053	0.002603478	1584	5.369631864	0
HTH_Tnp_1	31535	0.00248391	1243	4.416502816	0
rve	52039	0.004098944	1702	3.664635899	0
Phage_portal	3375	0.000265838	380	12.6156618	2.9206E-277
Phage_capsid	2338	0.000184157	311	14.90445501	1.2164E-249
HTH_3	25848	0.002035963	890	3.858009387	1.1135E-242
Terminase_1	2283	0.000179825	289	14.18378533	6.8875E-226
DDE_Tnp_IS66	11815	0.000930629	523	4.959845876	1.7921E-188
PhageMin_Tail	2253	0.000177462	254	12.63201821	4.0438E-186
DUF646	1547	0.000121852	214	15.49971376	4.6083E-176
DUF955	3491	0.000274975	289	9.275732428	2.4944E-174
Peptidase_U35	2191	0.000172578	240	12.27351853	4.9544E-173
DNA_methylase	4425	0.000348543	317	8.026869559	1.2606E-172
HNH	7976	0.000628244	411	5.773735637	3.0563E-171
Terminase_4	1148	9.04E-05	182	17.76354818	4.9198E-161
Phage_lysozyme	3886	0.000306088	288	8.304049128	6.6557E-161
ParBc	6257	0.000492844	338	6.052722506	4.0164E-147
Caudo_TAP	3433	0.000270406	258	8.42065978	8.6995E-146
Phage_connect_1	1616	0.000127287	192	13.3125144	1.762E-145
RusA	2297	0.000180927	218	10.633977	3.1497E-144
Phage_H_T_join	1784	0.00014052	194	12.18448277	1.2026E-139
DUF3296	1460	0.000114999	177	13.58377968	8.3776E-136
Bro-N	1417	0.000111613	172	13.60062339	4.0968E-132
DDE_Tnp_1	44253	0.003485666	959	2.428153331	2.512E-129
DUF932	1778	0.000140047	184	11.59541468	1.066E-128
D5_N	1355	0.000106729	166	13.72679068	3.1073E-128
DUF2699	13374	0.001053427	463	3.879000991	5.7489E-128
YqaJ	1275	0.000100428	158	13.88503953	6.2646E-123
TnpB_IS66	7022	0.0005531	322	5.138013783	7.1111E-121
Baseplate_J	2759	0.000217318	210	8.528404931	4.2031E-120
ANT	1144	9.01E-05	147	14.39764724	8.1666E-117
Methylase_S	4745	0.000373748	261	6.163175134	7.7683E-116
DUF2466	5421	0.000426995	275	5.683992614	1.1953E-113
DUF1738	1057	8.33E-05	139	14.73465702	5.8263E-112
N6_N4_Mtase	5744	0.000452436	278	5.422887352	4.5394E-110
HTH_7	4156	0.000327355	238	6.416550794	1.9943E-109
TrbI	1475	0.000116181	151	11.47057385	2.7982E-105
TraG_N	804	6.33E-05	121	16.86279421	6.8025E-105
SSB	7735	0.000609261	309	4.476085563	4.9414E-101
Sipho_tail	528	4.16E-05	102	21.64544245	2.9671E-100
RecT	1522	0.000119883	148	10.89550292	4.8406E-100
DUF1814	2418	0.000190458	178	8.248290044	9.9458E-100
TraU	766	6.03E-05	115	16.82167698	1.1622E-99
Phage_GPD	2371	0.000186756	176	8.317280191	3.25E-99
Relaxase	1338	0.00010539	140	11.72390095	4.8852E-99
DUF2857	496	3.91E-05	99	22.364219	7.3932E-99
T4SS-DNA_transf	1730	0.000136267	154	9.974125675	2.18597E-98
DUF927	1241	9.77E-05	135	12.1888352	8.67851E-98
Resolvase	4490	0.000353663	230	5.739601142	3.29426E-96
Terminase_3	841	6.62E-05	116	15.4547581	3.59874E-96
FtsK_SpoIIIE	3023	0.000238112	190	7.042318651	1.56715E-94
Ogr_Delta	1538	0.000121143	142	10.34504126	5.22173E-93
DUF1219	1372	0.000108068	135	11.02503243	4.33874E-92
TrbL	1476	0.00011626	138	10.47593867	3.67625E-91
Integrase_1	1722	0.000135636	145	9.434851598	1.87954E-89
Terminase_GpA	2096	0.000165095	157	8.392833209	2.78157E-89
YagB_YeeU_YfjZ	1168	9.20E-05	124	11.89540028	1.06868E-88
Phage_cap_P2	850	6.70E-05	110	14.50019951	3.1345E-88
HsdM_N	3381	0.00026631	192	6.362917265	4.72254E-88
Phage_pRha	815	6.42E-05	108	14.84794551	8.94551E-88
Phage_Mu_F	1335	0.000105154	129	10.82701312	4.165E-87
Phage_portal_2	1941	0.000152886	149	8.601237731	2.70177E-86
Antirestrict	1017	8.01E-05	113	12.44966625	3.53483E-83
DUF2895	505	3.98E-05	88	19.52502112	1.36984E-82
DUF3487	513	4.04E-05	88	19.22053736	5.81214E-82
DUF3438	546	4.30E-05	89	18.26407081	8.03115E-81
DUF957	646	5.09E-05	94	16.30405208	1.68367E-80
VirB8	1123	8.85E-05	114	11.37431662	1.50571E-79
Phage_sheath_1	2690	0.000211883	163	6.789464826	4.40392E-79
Phage_prot_Gp6	592	4.66E-05	90	17.03417172	6.67305E-79
DUF1845	484	3.81E-05	84	19.4461729	9.16885E-79
P2_Phage_GpR	848	6.68E-05	102	13.47735096	1.00698E-78
Terminase_6	2038	0.000160527	143	7.861982561	8.75573E-78
CagX	1271	0.000100113	117	10.3143183	7.92565E-77
Phage_lysis	2259	0.000177934	148	7.340839061	1.87101E-76
Phage_term_smal	728	5.73E-05	94	14.46760665	1.41365E-75
DUF2859	585	4.61E-05	87	16.66339944	1.75379E-75
Phage_GPL	752	5.92E-05	95	14.15487319	1.84811E-75
Phage_GPO	801	6.31E-05	96	13.42885348	4.71015E-74
DUF1528	605	4.77E-05	86	15.92734161	6.43136E-73
DUF3577	459	3.62E-05	78	19.04066602	1.59969E-72
Plasmid_RAQPRD	463	3.65E-05	78	18.87616783	3.23668E-72
DUF3596	1215	9.57E-05	110	10.1441725	1.37123E-71
MethyltransfD12	2959	0.000233071	161	6.096507736	1.46755E-71
Tail_P2_I	1676	0.000132013	125	8.356727045	2.90208E-71
Prim-Pol	1287	0.000101373	112	9.750787549	4.89238E-71
DUF2976	427	3.36E-05	75	19.68038575	6.30606E-71
DUF3262	455	3.58E-05	76	18.71554222	4.06357E-70
Phage_P2_GpU	1348	0.000106178	112	9.309542712	6.38774E-69
DUF987	940	7.40E-05	97	11.56229642	1.23741E-68
Terminase_5	1046	8.24E-05	101	10.81906942	1.40059E-68
PriCT_1	476	3.75E-05	76	17.88985654	1.41669E-68
MobA_MobL	582	4.58E-05	81	15.59416958	4.95416E-68
DUF1983	2009	0.000158242	131	7.30620035	1.18237E-67
Phage_GPA	899	7.08E-05	94	11.71570372	4.32782E-67
Terminase_2	1152	9.07E-05	103	10.01809081	1.26816E-66
Phage_tube	1375	0.000108304	110	8.963759697	4.88701E-66
Phage_tail_X	1230	9.69E-05	105	9.564987482	6.8733E-66
DUF771	156	1.23E-05	52	37.34899874	9.44841E-66
Arc	1241	9.77E-05	105	9.480205159	1.65383E-65
Phage_CP76	427	3.36E-05	71	18.63076518	1.77558E-65
MULE	7499	0.000590672	246	3.67563156	1.27357E-64
Sipho_Gp157	269	2.12E-05	60	24.99189507	9.6755E-64
TrbC	982	7.73E-05	94	10.72547622	1.28742E-63
N6_Mtase	1858	0.000146349	122	7.357230107	1.81073E-63
Eco57I	2156	0.000169821	130	6.756080477	3.20768E-63
DUF1525	437	3.44E-05	68	17.43523053	9.20853E-61
Rz1	1976	0.000155643	122	6.917881345	1.47534E-60
TrwC	651	5.13E-05	78	13.42498572	1.67218E-60
Lambda_tail_I	1898	0.000149499	119	7.025075105	8.03674E-60
MobC	670	5.28E-05	78	13.04427717	1.53307E-59
VRR_NUC	990	7.80E-05	90	10.18609056	4.57282E-59
Phage_min_tail	1896	0.000149342	118	6.973389005	5.34708E-59
VirB3	840	6.62E-05	83	11.07131034	1.74047E-57
Phage_tail_L	1939	0.000152729	117	6.760958513	4.017E-57
Phage_tail	109	8.59E-06	42	43.17407194	1.29138E-56
Tape_meas_lam_C	1440	0.000113424	101	7.858851818	1.74981E-55
Fic	6119	0.000481974	204	3.735510251	5.29848E-55
Phage_tail_S	1267	9.98E-05	95	8.401313844	8.13205E-55
DUF3310	139	1.09E-05	44	35.46811391	9.93912E-55
ERF	431	3.39E-05	63	16.37809921	1.12871E-54
KilA-N	831	6.55E-05	80	10.78671444	1.31992E-54
Phage_P2_GpE	971	7.65E-05	85	9.808439421	1.44201E-54
Phage_E	807	6.36E-05	79	10.96866506	1.69796E-54
Phage_CI_repr	662	5.21E-05	73	12.35563553	3.74655E-54
Dam	790	6.22E-05	78	11.06286798	4.15266E-54
TraD	489	3.85E-05	65	14.8937725	1.21785E-53
DUF905	489	3.85E-05	64	14.66463754	2.06945E-52
DUF1073	671	5.29E-05	71	11.85594148	1.77122E-51
DUF2303	411	3.24E-05	59	16.0846053	7.64378E-51
Phage_holin_3	796	6.27E-05	75	10.55719185	1.22837E-50
Transposase_mut	4985	0.000392652	175	3.933445203	1.96503E-50
DnaB	4740	0.000373354	169	3.994924549	1.21257E-49
DUF3631	341	2.69E-05	54	17.7435126	4.891E-49
